#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
365,Gordon Ale (2009),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85
366,Gordon Beer (2006),Oskar Blues Brewery,"Lyons, CO",American Double / Imperial IPA,12 oz.,8.70%,60
367,Gordon Imperial Red (2010),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85
368,Gossamer Golden Ale,Half Acre Beer Company,"Chicago, IL",American Blonde Ale,16 oz.,4.20%,N/A
369,Grand Canyon American Pilsner,Grand Canyon Brewing Company,"Williams, AZ",American Pisner,12 oz.,5.20%,N/A
370,Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,"Williams, AZ",American Amber / Red Ale,12 oz.,5.40%,N/A
371,Grand Circus IPA,Atwater Brewery,"Detroit, MI",American IPA,12 oz.,5%,62
372,Grapefruit Jungle (GFJ),Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,7.50%,N/A
373,Grateful White,Rivertowne Brewing Company,"Export, PA",Witbier,12 oz.,6.10%,N/A
374,Great Crescent Belgian Style Wit,Great Crescent Brewery,"Aurora, IN",Witbier,16 oz.,5.10%,13
375,Great Crescent Blonde Ale,Great Crescent Brewery,"Aurora, IN",American Blonde Ale,16 oz.,5.30%,22
376,Great Crescent Brown Ale,Great Crescent Brewery,"Aurora, IN",American Brown Ale,16 oz.,4.50%,36
377,Great Crescent Coconut Porter,Great Crescent Brewery,"Aurora, IN",American Porter,16 oz.,5.60%,33
378,Great Crescent Dark Lager,Great Crescent Brewery,"Aurora, IN",Euro Dark Lager,16 oz.,5.70%,23
379,Great Crescent India Pale Ale,Great Crescent Brewery,"Aurora, IN",American IPA,16 oz.,???,N/A
380,Great Crescent Mild Ale,Great Crescent Brewery,"Aurora, IN",English Dark Mild Ale,16 oz.,4.20%,26
381,Great Crescent Oktoberfest Lager,Great Crescent Brewery,"Aurora, IN",MÌ_rzen / Oktoberfest,16 oz.,5.70%,25
382,Great Crescent Stout,Great Crescent Brewery,"Aurora, IN",English Stout,16 oz.,8%,66
383,Great Falls Select Pale Ale,Harvest Moon Brewing Company,"Belt, MT",American Blonde Ale,12 oz.,???,N/A
384,Green Head IPA,Newburyport Brewing Company,"Newburyport, MA",American IPA,12 oz.,???,N/A
385,Green Monsta IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,6%,55
386,Greenville Pale Ale,Twin Lakes Brewing Company,"Greenville, DE",American Pale Ale (APA),12 oz.,5.50%,52
387,Grey Lady,Cisco Brewers,"Nantucket, MA",Witbier,12 oz.,4.50%,N/A
388,GUBNA Imperial IPA,Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,10%,100
389,Hala Kahiki Pineapple Beer,Rivertowne Brewing Company,"Export, PA",Fruit / Vegetable Beer,12 oz.,4.80%,N/A
390,Halcyon Unfiltered Wheat,Tallgrass Brewing Company,"Manhattan, KS",American Pale Wheat Ale,12 oz.,5%,20
391,Halcyon Unfiltered Wheat,Tallgrass Brewing Company,"Manhattan, KS",American Pale Wheat Ale,16 oz.,5%,20
392,Hangar 24 Helles Lager,Hangar 24 Craft Brewery,"Redlands, CA",Munich Helles Lager,12 oz.,4.30%,14
393,Hans' Pils,Real Ale Brewing Company,"Blanco, TX",German Pilsener,12 oz.,5.30%,52
394,Happy Amber,Madtree Brewing Company,"Cincinnati, OH",American Amber / Red Ale,12 oz.,6%,N/A
395,Happy Camper IPA,Santa Fe Brewing Company,"Santa Fe, NM",American IPA,12 oz.,6.60%,N/A
396,Harbinger,Sixpoint Craft Ales,"Brooklyn, NY",Saison / Farmhouse Ale,16 oz.,4.90%,35
397,Harpoon IPA (2010),Harpoon Brewery,"Boston, MA",American IPA,12 oz.,5.90%,42
398,Harpoon IPA,Harpoon Brewery,"Boston, MA",American IPA,12 oz.,5.90%,42
399,Harpoon Summer Beer (2010),Harpoon Brewery,"Boston, MA",KÌ¦lsch,12 oz.,5%,28
400,Harpoon Summer Beer,Harpoon Brewery,"Boston, MA",KÌ¦lsch,12 oz.,5%,28
401,Harvest Ale,Fremont Brewing Company,"Seattle, WA",Saison / Farmhouse Ale,12 oz.,6.50%,35
402,Hayride Autumn Ale,Baxter Brewing Company,"Lewiston, ME",Rye Beer,12 oz.,6.60%,N/A
403,Haywire Hefeweizen (2010),Pyramid Breweries,"Seattle, WA",Hefeweizen,16 oz.,5.20%,18
404,Hazed & Infused,Boulder Beer Company,"Boulder, CO",American Pale Ale (APA),12 oz.,4.90%,35
405,Heady Topper (2011),Alchemist Cannery,"Waterbury, VT",American Double / Imperial IPA,16 oz.,8%,120
406,Heady Topper,Alchemist Cannery,"Waterbury, VT",American Double / Imperial IPA,16 oz.,8%,120
407,Heiner Brau KÌ¦lsch,Covington Brewhouse,"Covington, LA",KÌ¦lsch,12 oz.,5%,N/A
408,Heinnieweisse Weissebier,Butternuts Beer and Ale,"Garrattsville, NY",Hefeweizen,12 oz.,4.90%,N/A
409,Hell,Surly Brewing Company,"Brooklyn Center, MN",Keller Bier / Zwickel Bier,16 oz.,5.10%,20
410,Hell or High Watermelon Wheat,21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17
411,Hell or High Watermelon Wheat (2009),21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17
412,Hell or High Watermelon Wheat (2009),21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17
413,Hell-Diver Pale Ale,Sockeye Brewing Company,"Boise, ID",American Pale Ale (APA),12 oz.,5.20%,32
414,HGH (Home Grown Hops): Part Duh,Oskar Blues Brewery,"Longmont, CO",American Strong Ale,12 oz.,8%,70
415,Hibernal Vinifera Stout,Ska Brewing Company,"Durango, CO",Foreign / Export Stout,12 oz.,8%,N/A
416,High Country Pilsner (Current),Mammoth Brewing Company,"Mammoth Lakes, CA",German Pilsener,12 oz.,4.20%,N/A
417,Hilliard's Amber Ale,Hilliard's Beer,"Seattle, WA",American Amber / Red Ale,16 oz.,5.50%,60
418,Hilliard's Blonde,Hilliard's Beer,"Seattle, WA",American Blonde Ale,16 oz.,4.90%,20
419,Hilliard's Pils,Hilliard's Beer,"Seattle, WA",Czech Pilsener,16 oz.,5.50%,34
420,Hilliard's Saison,Hilliard's Beer,"Seattle, WA",Saison / Farmhouse Ale,16 oz.,6.60%,30
421,Hipster Ale,Westbrook Brewing Company,"Mt. Pleasant, SC",American Pale Ale (APA),12 oz.,5.50%,N/A
422,Hipster Breakfast,Southern Prohibition Brewing Com...,"Hattiesburg, MS",Oatmeal Stout,16 oz.,???,N/A
423,Hobnob B & B Pale Ale,Two Brothers Brewing Company,"Warrenville, IL",American Pale Ale (APA),12 oz.,6.50%,N/A
424,Hog Wild India Pale Ale,Aviator Brewing Company,"Fuquay-Varina, NC",American IPA,12 oz.,6.70%,N/A
425,Honey Wheat,Morgan Street Brewery,"Saint Louis, MO",American Pale Wheat Ale,12 oz.,4.70%,N/A
426,Hoopla Pale Ale,Boulder Beer Company,"Boulder, CO",American Pale Ale (APA),12 oz.,5.70%,35
427,Hop Abomination,Dry Dock Brewing Company,"Aurora, CO",American IPA,12 oz.,6.60%,100
428,Hop Box Imperial IPA,Joseph James Brewing Company,"Henderson, NV",American Double / Imperial IPA,12 oz.,9.30%,90
429,Hop Crisis,21st Amendment Brewery,"San Francisco, CA",American Double / Imperial IPA,12 oz.,9.70%,94
430,Hop Happy,Milwaukee Brewing Company,"Milwaukee, WI",American IPA,16 oz.,7.50%,51
431,Hop Knot IPA,Four Peaks Brewing Company,"Tempe, AZ",American IPA,12 oz.,6.70%,47
432,Hop Notch IPA,Uinta Brewing Company,"Salt Lake City, UT",American IPA,12 oz.,7.30%,82
433,Hop Ottin' IPA,Anderson Valley Brewing Company,"Boonville, CA",American IPA,12 oz.,7%,80
434,Hop Shock IPA (2010),SanTan Brewing Company,"Chandler, AZ",American IPA,12 oz.,7%,85
435,Hop Shock IPA,SanTan Brewing Company,"Chandler, AZ",American IPA,12 oz.,7%,85
436,Hop Slayer Double IPA (2011),The Wild Onion Brewing Company/T...,"Lake Barrington, IL",American Double / Imperial IPA,12 oz.,8%,N/A
437,Hop Slayer Double IPA,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",American Double / Imperial IPA,12 oz.,8%,N/A
438,Hop Villain,Big Al Brewing,"Seattle, WA",American Black Ale,16 oz.,6.40%,65
439,Hop-A-Potamus Rye PA,Great River Brewery,"Davenport, IA",American Double / Imperial IPA,16 oz.,9%,99
440,Hopadillo India Pale Ale,Karbach Brewing Company,"Houston, TX",American IPA,12 oz.,6.60%,70
441,Hopitoulas IPA,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American IPA,16 oz.,6.50%,N/A
442,Hopluia (2004),Spilker Ales,"Cortland, NE",English India Pale Ale (IPA),16 oz.,???,N/A
443,Hoppy Boy,Twisted Pine Brewing Company,"Boulder, CO",American IPA,16 oz.,6.20%,65
444,Hoppy Redhead,Ellersick Brewing Company (Big E...,"Lynnwood, WA",Extra Special / Strong Bitter (ESB),16 oz.,6.50%,45
445,Hopworks IPA,Hopworks Urban Brewery,"Portland, OR",American IPA,16 oz.,6.60%,75
446,Horny Toad Cerveza,COOP Ale Works,"Oklahoma City, OK",American Blonde Ale,16 oz.,5.30%,25
447,Hot Rod Red,Aviator Brewing Company,"Fuquay-Varina, NC",American Amber / Red Ale,12 oz.,6.10%,41
448,Hotter Than Helles Lager,Cigar City Brewing Company,"Tampa, FL",Munich Helles Lager,12 oz.,5%,N/A
449,House Brand IPA,Big River Brewing Company,"Chattanooga, TN",American IPA,12 oz.,6%,55
450,HUB Lager,Hopworks Urban Brewery,"Portland, OR",Czech Pilsener,16 oz.,5.10%,32
451,Hubris Quadrupel Anniversary Ale,Brewery Vivant,"Grand Rapids, MI",Quadrupel (Quad),16 oz.,11.50%,N/A
452,Humidor Series India Pale Ale,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70
453,Hurricane Amber Ale,Coastal Extreme Brewing Company,"Newport, RI",American Amber / Red Ale,12 oz.,5.20%,24
454,Hurricane Amber Ale (2004),Coastal Extreme Brewing Company,"Newport, RI",American Amber / Red Ale,12 oz.,5.20%,24
455,I-10 IPA,Intuition Ale Works,"Jacksonville, FL",American IPA,12 oz.,6.80%,55
456,Ice Pick Ale,Silverton Brewery,"Silverton, CO",American IPA,12 oz.,6.80%,N/A
457,IceyPA,Oskar Blues Brewery,"Longmont, CO",American IPA,16 oz. Alumi-Tekå¨,???,N/A
458,Immersion Amber Ale,Two Beers Brewing Company,"Seattle, WA",American Amber / Red Ale,12 oz.,5.20%,27
459,Imperial Java Stout,Santa Fe Brewing Company,"Santa Fe, NM",Russian Imperial Stout,12 oz.,8%,N/A
460,Inclined Plane Ale,Flat Rock Brewing Company,"Smithton, PA",American IPA,12 oz.,???,N/A
461,Independence Pass Ale,Aspen Brewing Company,"Aspen, CO",American IPA,12 oz.,7%,67
462,Indianapolis Indians Lager,Sun King Brewing Company,"Indianapolis, IN",Dortmunder / Export Lager,16 oz.,5.20%,24
463,Indians Victory Lager (2012),Sun King Brewing Company,"Indianapolis, IN",Dortmunder / Export Lager,16 oz.,5.20%,24
464,Indie Pale Ale,Cisco Brewers,"Nantucket, MA",American IPA,12 oz.,6.50%,N/A
465,Interurban IPA,Fremont Brewing Company,"Seattle, WA",American IPA,12 oz.,6.50%,80
466,Invasion Pale Ale,Cigar City Brewing Company,"Tampa, FL",American Pale Ale (APA),12 oz.,5%,N/A
467,Iron Mike Pale Ale,Moat Mountain Smoke House & Brew...,"North Conway, NH",American Pale Ale (APA),24 oz.,5.60%,N/A
468,Isis,Sun King Brewing Company,"Indianapolis, IN",American Double / Imperial IPA,16 oz.,9.10%,91
469,Island Wheat,Capital Brewery,"Middleton, WI",American Pale Wheat Ale,12 oz.,4.20%,N/A
470,Jack Stout,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",Oatmeal Stout,12 oz.,6.50%,N/A
471,Jack's Hard Cider,Jack's Hard Cider (Hauser Estate...,"Biglerville, PA",Cider,12 oz.,5.10%,N/A
472,Jai Alai IPA,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70
473,Jai Alai IPA Aged on White Oak,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70
474,Jessie's Garage,Revolution Brewing,"Paonia, CO",American Pale Ale (APA),16 oz.,5.60%,N/A
475,Jockamo IPA,Abita Brewing Company,"Abita Springs, LA",American IPA,12 oz.,6.50%,52
476,Johan the Barleywine,Sun King Brewing Company,"Indianapolis, IN",English Barleywine,16 oz.,10%,60
477,Johnny's American IPA,Moab Brewery,"Moab, UT",American IPA,16 oz.,4%,N/A
478,Jon Boat Coastal Ale,Intuition Ale Works,"Jacksonville, FL",American Blonde Ale,12 oz.,4.50%,20
479,JosÌ© MartÌ_ American Porter,Cigar City Brewing Company,"Tampa, FL",American Porter,12 oz.,8%,65
480,Joseph James American Lager,Joseph James Brewing Company,"Henderson, NV",American Adjunct Lager,12 oz.,5.20%,15
481,Kaleidoscope Collaboration 2012,Devil's Canyon Brewery,"Belmont, CA",American Black Ale,16 oz.,???,N/A
482,KÌ¦ld Lager (2010),Tallgrass Brewing Company,"Manhattan, KS",German Pilsener,16 oz.,5%,16
483,Kentucky IPA,Alltech's Lexington Brewing Company,"Lexington, KY",American IPA,16 oz.,???,N/A
484,Kilt Lifter Scottish-Style Ale,Four Peaks Brewing Company,"Tempe, AZ",Scottish Ale,12 oz.,6%,N/A
485,Kludde,Brewery Vivant,"Grand Rapids, MI",Belgian Strong Dark Ale,16 oz.,8.50%,N/A
486,Kodiak Brown Ale,Midnight Sun Brewing Company,"Anchorage, AK",American Brown Ale,12 oz.,5%,24
487,La Frontera Premium IPA,Big Bend Brewing Company,"Alpine, TX",American IPA,12 oz.,7.80%,N/A
488,La Perouse White,Maui Brewing Company,"Lahaina, HI",Witbier,12 oz.,5%,12
489,Lancaster German Style KÌ¦lsch,Lancaster Brewing Company,"Lancaster, PA",KÌ¦lsch,12 oz.,4.80%,28
490,Lands End Amber Ale,Kannah Creek Brewing Company,"Grand Junction, CO",American Amber / Red Ale,12 oz.,5.70%,28
491,Lava Lake Wit,Crazy Mountain Brewing Company,"Edwards, CO",Witbier,12 oz.,5.20%,15
492,Lawnmower Lager,Ellersick Brewing Company (Big E...,"Lynnwood, WA",American Pale Lager,16 oz.,4.80%,N/A
493,Lawnmower Lager,Caldera Brewing Company,"Ashland, OR",American Adjunct Lager,12 oz.,3.90%,16
494,Lazy Daze Lager,Rochester Mills Brewing Company,"Rochester, MI",American Adjunct Lager,12 oz.,5.50%,N/A
495,Le Mort Vivant,Southern Star Brewing Company,"Conroe, TX",BiÌ¬re de Garde,12 oz.,6.90%,23
496,Leaning Chimney Smoked Porter,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Porter,16 oz.,6%,34
497,Leroy (2005),Oskar Blues Brewery,"Lyons, CO",American Brown Ale,12 oz.,5.20%,N/A
498,Lewis & Clark Amber Ale,Lewis and Clark Brewing Company,"Helena, MT",American Amber / Red Ale,12 oz.,5%,N/A
499,Lift Bridge Brown Ale,Keweenaw Brewing Company,"Houghton, MI",American Brown Ale,12 oz.,???,N/A
500,Light IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,4%,37
501,Lily Flagg Milk Stout,Straight to Ale,"Huntsville, AL",Milk / Sweet Stout,12 oz.,5%,30
502,Liquid Amber Ale,Prescott Brewing Company,"Prescott, AZ",American Amber / Red Ale,12 oz.,???,N/A
503,Liquid Breadfruit,Maui Brewing Company,"Lahaina, HI",Fruit / Vegetable Beer,12 oz.,8.20%,N/A
504,Loafin BrÌ_u,Tampa Bay Brewing Company,"Tampa, FL",Altbier,16 oz.,5.50%,N/A
505,Loki Red Ale,Fearless Brewing Company,"Estacada, OR",American Amber / Red Ale,16 oz.,7.50%,N/A
506,Long Day Lager,Red Hare Brewing Company,"Marietta, GA",Czech Pilsener,12 oz.,4.90%,N/A
507,Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,12 oz.,6.50%,44
508,Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,16 oz.,6.50%,44
509,Long Trail Ale,Long Trail Brewing Company,"Bridgewater Corners, VT",Altbier,12 oz.,4.60%,30
510,Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,12 oz.,4.60%,18
511,Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,12 oz.,4.60%,18
512,Longfin Lager,Ballast Point Brewing Company,"San Diego, CA",Munich Helles Lager,12 oz.,4.60%,N/A
513,Loose Cannon,Heavy Seas Beer,"Halethorpe, MD",American IPA,12 oz.,7.20%,45
514,Louie‰Ûªs Demise Ale (2010),Milwaukee Brewing Company,"Milwaukee, WI",American Amber / Red Ale,16 oz.,5.10%,24
515,Lower De Boom,21st Amendment Brewery,"San Francisco, CA",American Barleywine,8.4 oz.,11.50%,92
516,Lucky U IPA,Breckenridge Brewery,"Denver, CO",American IPA,12 oz.,6.20%,68
517,Lumberyard IPA,Lumberyard Brewing Company,"Flagstaff, AZ",American IPA,12 oz.,6.10%,N/A
518,Lumberyard Red Ale,Lumberyard Brewing Company,"Flagstaff, AZ",American Amber / Red Ale,12 oz.,5.80%,N/A
519,Mac's Highlander Pale Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Pale Ale (APA),12 oz.,5%,N/A
520,Mac's Scottish Style Amber Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Amber / Red Ale,12 oz.,5.10%,32
521,Macon History Ale,Macon Beer Company,"Macon, GA",American Brown Ale,12 oz.,5.50%,N/A
522,Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",American Brown Ale,12 oz.,5.50%,25
523,Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",English Brown Ale,12 oz.,5.50%,25
524,Mama's Little Yella Pils,Oskar Blues Brewery,"Longmont, CO",Czech Pilsener,12 oz.,5.30%,35
525,Mama's Little Yella Pils,Oskar Blues Brewery,"Longmont, CO",Czech Pilsener,19.2 oz.,5.30%,35
526,Mana Wheat,Maui Brewing Company,"Lahaina, HI",American Pale Wheat Ale,12 oz.,5.50%,15
527,Manhattan Gold Lager (1990),The Manhattan Brewing Company,"New York, NY",American Amber / Red Lager,12 oz.,???,N/A
528,Marble India Pale Ale,Marble Brewery,"Albuquerque, NM",American IPA,12 oz.,6.20%,N/A
529,Marooned On Hog Island,21st Amendment Brewery,"San Francisco, CA",American Stout,12 oz.,7.90%,N/A
530,Maxwell's Scottish Ale,Rivertowne Brewing Company,"Export, PA",Scottish Ale,12 oz.,5.10%,N/A
531,McKinney Eddy Amber Ale,Piney River Brewing Company,"Bucryus, MO",American Amber / Red Ale,16 oz.,5.50%,20
532,Meat Wave,Half Acre Beer Company,"Chicago, IL",English India Pale Ale (IPA),16 oz.,6%,N/A
533,MechaHopzilla,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Double / Imperial IPA,16 oz.,8.80%,N/A
534,Mexican Logger,Ska Brewing Company,"Durango, CO",American Pale Lager,12 oz.,4.20%,18
535,Mickey Finn's Amber Ale,Mickey Finn's Brewery,"Libertyville, IL",American Amber / Red Ale,12 oz.,5.60%,N/A
536,Midnight Ryder,Indeed Brewing Company,"Minneapolis, MN",American Black Ale,12 oz.,6.50%,80
537,Midwest Charm Farmhouse Ale,Okoboji Brewing Company,"Spirit Lake, IA",Saison / Farmhouse Ale,16 oz.,6%,29
538,Milkshake Stout,Rochester Mills Brewing Company,"Rochester, MI",Milk / Sweet Stout,16 oz.,5%,N/A
539,Miner's Gold,Revolution Brewing,"Paonia, CO",American Blonde Ale,12 oz.,???,N/A
540,Miner's Gold,Revolution Brewing,"Paonia, CO",American Blonde Ale,16 oz.,5%,N/A
541,Miner's Gold Hefeweizen,Lewis and Clark Brewing Company,"Helena, MT",Hefeweizen,12 oz.,5%,N/A
542,Missouri Mule India Pale Ale,Piney River Brewing Company,"Bucryus, MO",American IPA,16 oz.,7%,70
543,Mistress Winter Wheat,Bonfire Brewing Company,"Eagle, CO",Winter Warmer,12 oz.,6.40%,N/A
544,Misty Mountain IPA,Back East Brewing Company,"Bloomfield, CT",American IPA,12 oz.,7%,N/A
545,Mjolnir Imperial IPA,Fearless Brewing Company,"Estacada, OR",American Double / Imperial IPA,16 oz.,6.90%,N/A
546,Mo's Gose,Armstrong Brewing Company,"South San Francisco, CA",Gose,16 oz.,5.20%,10
547,Modus Hoperandi,Ska Brewing Company,"Durango, CO",American IPA,12 oz.,6.80%,65
548,Monk's Blood,21st Amendment Brewery,"San Francisco, CA",Belgian Dark Ale,12 oz.,8.30%,35
549,Monkey Paw Oatmeal Pale Ale,Monkey Paw Pub & Brewery,"San Diego, CA",American Pale Ale (APA),16 oz.,5.80%,N/A
550,Monkeynaut IPA,Straight to Ale,"Huntsville, AL",American IPA,12 oz.,7.20%,70
551,Montana Trout Slayer Ale (2009),Big Sky Brewing Company,"Missoula, MT",American Pale Wheat Ale,12 oz.,4.70%,N/A
552,Montana Trout Slayer Ale,Big Sky Brewing Company,"Missoula, MT",American Pale Wheat Ale,12 oz.,4.70%,N/A
553,Moo Thunder Stout,Butternuts Beer and Ale,"Garrattsville, NY",Milk / Sweet Stout,12 oz.,4.90%,N/A
554,Moose Drool Brown Ale (2009),Big Sky Brewing Company,"Missoula, MT",American Brown Ale,12 oz.,5.30%,N/A
555,Moose Drool Brown Ale,Big Sky Brewing Company,"Missoula, MT",American Brown Ale,12 oz.,5.30%,N/A
556,Morning Wood,Big Wood Brewery,"Vadnais Heights, MN",Oatmeal Stout,16 oz.,6%,N/A
557,Morning Wood Wheat,Pug Ryan's Brewery,"Dillon, CO",American Pale Wheat Ale,12 oz.,???,N/A
558,Mother Ale,Denali Brewing Company,"Talkeetna, AK",American Blonde Ale,12 oz.,5.60%,46
559,Mountain Fairy Raspberry Wheat,Eddyline Brewery & Restaurant,"Buena Vista, CO",Fruit / Vegetable Beer,16 oz.,5.50%,N/A
560,Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Pale Ale (APA),12 oz.,6%,N/A
561,Mr. Pineapple,SanTan Brewing Company,"Chandler, AZ",Hefeweizen,12 oz.,5%,20
562,Mucho Aloha Hawaiian Pale Ale,Butcher's Brewing,"Carlsbad, CA",American Pale Ale (APA),12 oz.,5.60%,36
563,Mustang '33,Mustang Brewing Company,"Mustang, OK",American Pale Lager,12 oz.,4%,N/A
564,Mustang Golden Ale,Mustang Brewing Company,"Mustang, OK",American Blonde Ale,12 oz.,5.30%,10
565,Mutton Buster,Payette Brewing Company,"Garden City, ID",American Brown Ale,12 oz.,5.50%,25
566,Mystic Mama IPA,Jackie O's Pub & Brewery,"Athens, OH",American IPA,12 oz.,7%,N/A
567,Mystical Stout,Wildwood Brewing Company,"Stevensville, MT",Irish Dry Stout,16 oz.,5.40%,N/A
568,N Street Drive In Double IPA,Blue Blood Brewing Company,"Lincoln, NE",American Double / Imperial IPA,12 oz.,???,N/A
569,Narragansett Bock,Narragansett Brewing Company,"Providence, RI",Bock,16 oz.,6.50%,32
570,Narragansett Cream Ale,Narragansett Brewing Company,"Providence, RI",Cream Ale,16 oz.,5%,22
571,Narragansett Fest Lager,Narragansett Brewing Company,"Providence, RI",MÌ_rzen / Oktoberfest,16 oz.,5.50%,15
572,Narragansett Porter,Narragansett Brewing Company,"Providence, RI",American Porter,16 oz.,7%,22
573,Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",American Pale Wheat Ale,16 oz.,4.20%,24
574,Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",American Pale Wheat Ale,12 oz.,4.20%,24
575,Native Amber,COOP Ale Works,"Oklahoma City, OK",American Amber / Red Ale,16 oz.,6.30%,35
576,Nebraska India Pale Ale,Nebraska Brewing Company,"Papillion, NE",American IPA,12 oz.,6.50%,65
577,Newburyport Pale Ale,Newburyport Brewing Company,"Newburyport, MA",American Pale Ale (APA),12 oz.,???,N/A
578,Ninja Porter,Asheville Brewing Company,"Asheville, NC",American Porter,12 oz.,5.30%,26
579,NOLA Blonde Ale,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Blonde Ale,12 oz.,4.90%,N/A
580,NOLA Brown Ale,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",English Dark Mild Ale,12 oz.,3.90%,N/A
581,North Fork Lager,Payette Brewing Company,"Garden City, ID",American Pale Lager,12 oz.,4.40%,N/A
582,Northern Lights Amber Ale,Broken Tooth Brewing Company,"Anchorage, AK",American Amber / Red Ale,12 oz.,5%,15
583,Northern Lights India Pale Ale,Starr Hill Brewery,"Crozet, VA",American IPA,12 oz.,6.50%,52
584,November Gale Pale Ale,Keweenaw Brewing Company,"Houghton, MI",American Pale Ale (APA),12 oz.,???,N/A
585,Number 22 Porter,Big Bend Brewing Company,"Alpine, TX",American Porter,12 oz.,6.40%,N/A
586,Nut Brown Ale,New South Brewing Company,"Myrtle Beach, SC",English Brown Ale,12 oz.,5.40%,N/A
587,Nut Sack Imperial Brown Ale,Engine 15 Brewing,"Jacksonville Beach, FL",American Brown Ale,12 oz.,7%,N/A
588,O'Fallon Wheach,O'Fallon Brewery,"O'Fallon, MO",Fruit / Vegetable Beer,12 oz.,5.10%,7
589,O-Gii,Milwaukee Brewing Company,"Milwaukee, WI",Witbier,16 oz.,9.20%,N/A
590,Oaky's Oatmeal Stout,Angry Minnow Brewing Company,"Hayward, WI",Oatmeal Stout,16 oz.,4.70%,N/A
591,Oasis (2010),Tallgrass Brewing Company,"Manhattan, KS",American Double / Imperial IPA,16 oz.,7.20%,93
592,Oasis,Tallgrass Brewing Company,"Manhattan, KS",Extra Special / Strong Bitter (ESB),16 oz.,7.20%,93
593,Oatmeal PSA,Airways Brewing Company,"Kent, WA",American Pale Ale (APA),16 oz.,5%,N/A
594,OB-1 Organic Ale,Snake River Brewing Company,"Jackson, WY",English Brown Ale,12 oz.,5%,22
595,Occidental Altbier,Occidental Brewing Company,"Portland, OR",Altbier,16 oz.,5%,N/A
596,Occidental Dunkel,Occidental Brewing Company,"Portland, OR",Dunkelweizen,16 oz.,5.10%,N/A
597,Occidental KÌ¦lsch,Occidental Brewing Company,"Portland, OR",KÌ¦lsch,16 oz.,4.50%,N/A
598,Odyssey Imperial IPA,Sly Fox Brewing Company,"Phoenixville, PA",American Double / Imperial IPA,12 oz.,8.40%,90
599,Oktoberfest,Great River Brewery,"Davenport, IA",MÌ_rzen / Oktoberfest,16 oz.,5.90%,25
600,Oktoberfest Lager,Sly Fox Brewing Company,"Phoenixville, PA",MÌ_rzen / Oktoberfest,12 oz.,5.80%,25
601,Oktoberfest Revolution,Revolution Brewing Company,"Chicago, IL",MÌ_rzen / Oktoberfest,12 oz.,5.70%,25
602,Ol' Factory Pils,Two Roads Brewing Company,"Stratford, CT",German Pilsener,12 oz.,5%,N/A
603,Old Chub,Oskar Blues Brewery,"Longmont, CO",Scottish Ale,12 oz.,8%,35
604,Old Chub (2003),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8%,35
605,Old Chub (2004),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8%,35
606,Old Chub (2008),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8%,35
607,Old Devil's Tooth,Sockeye Brewing Company,"Boise, ID",American Barleywine,12 oz.,10.30%,100
608,Old Elephant Foot IPA,Tampa Bay Brewing Company,"Tampa, FL",American IPA,16 oz.,7%,80
