#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
185,Cavatica Stout,Fort George Brewery,"Astoria, OR",American Double / Imperial Stout,16 oz.,8.80%,N/A
186,Celestial Blonde Ale,Old Forge Brewing Company,"Danville, PA",American Blonde Ale,16 oz.,6.50%,N/A
187,Celsius Summer Ale,Baxter Brewing Company,"Lewiston, ME",American Pale Wheat Ale,12 oz.,4.70%,N/A
188,Chaka,Sun King Brewing Company,"Indianapolis, IN",Belgian Strong Pale Ale,16 oz. Alumi-Tekå¨,8%,N/A
189,Chaka,Oskar Blues Brewery,"Longmont, CO",Belgian Strong Pale Ale,16 oz. Alumi-Tekå¨,8%,N/A
190,Cherny Bock,Bohemian Brewery,"Midvale, UT",Schwarzbier,12 oz.,4%,N/A
191,Cherry Ale,Great Crescent Brewery,"Aurora, IN",Fruit / Vegetable Beer,16 oz.,5.70%,18
192,Chester's Beer (2005),Cottrell Brewing,"Pawcatuck, CT",American Pale Lager,12 oz.,3.80%,N/A
193,Choc Beer (2003),Krebs Brewing Company (Pete's Pl...,"Krebs, OK",American Dark Wheat Ale,12 oz.,4%,9
194,Chomo-Lung-Ma Organic Honey Nut Brown,Jackie O's Pub & Brewery,"Athens, OH",English Brown Ale,12 oz.,6.70%,N/A
195,Chugach Session Ale,Broken Tooth Brewing Company,"Anchorage, AK",Cream Ale,12 oz.,4.80%,N/A
196,Churchkey Pilsner Style Beer,Churchkey Can Company,"Seattle, WA",American Pilsner,12 oz.,4.90%,29
197,Circuit Bohemian Pilsner,Tin Man Brewing Company,"Evansville, IN",Czech Pilsener,16 oz.,4.50%,35
198,CoCoNut Porter,Maui Brewing Company,"Lahaina, HI",American Porter,12 oz.,5.70%,30
199,Coffee Bender,Surly Brewing Company,"Brooklyn Center, MN",American Brown Ale,16 oz.,5.10%,45
200,Cold Smoke Scotch Ale,Kettle House Brewing Company,"Missoula, MT",Scotch Ale / Wee Heavy,16 oz.,6.50%,11
201,Cold Smoke Scotch Ale (2007),Kettle House Brewing Company,"Missoula, MT",Scotch Ale / Wee Heavy,16 oz.,6.50%,11
202,Colorado KÌ¦lsch,Steamworks Brewing Company,"Durango, CO",KÌ¦lsch,12 oz.,4.90%,17
203,Colorado Native (2011),AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26
204,Colorado Native,AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26
205,Colorado Red Ale,Revolution Brewing,"Paonia, CO",American Amber / Red Ale,12 oz.,6.20%,N/A
206,Contemplation,Brewery Vivant,"Grand Rapids, MI",BiÌ¬re de Garde,16 oz.,6.50%,N/A
207,Copper Hook (2011),Redhook Brewery,"Woodinville, WA",American Amber / Red Ale,12 oz.,5.80%,27
208,Cornerstone IPA,Rochester Mills Brewing Company,"Rochester, MI",American IPA,16 oz.,7%,N/A
209,Cornstalker Dark Wheat,Thunderhead Brewing Company,"Kearney, NE",American Dark Wheat Ale,12 oz.,???,N/A
210,Country Pale Ale,Wachusett Brewing Company,"Westminster, MA",English Pale Ale,12 oz.,5.10%,17
211,Crabtree Oatmeal Stout,Crabtree Brewing Company,"Greeley, CO",Oatmeal Stout,16 oz.,7.50%,29
212,Crank Yanker IPA,Eddyline Brewery & Restaurant,"Buena Vista, CO",American IPA,16 oz.,7.80%,74
213,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,5.20%,25
214,Cream Dream V: I Thought We Were Buddies‰Û_,Sun King Brewing Company,"Indianapolis, IN",American Double / Imperial IPA,16 oz.,9%,100
215,CuDa Cascadian Dark Ale,Natian Brewery,"Portland, OR",American Black Ale,16 oz.,7.40%,N/A
216,Cut Throat Pale Ale (2011),Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A
217,Cut Throat Pale Ale,Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A
